period,start,end,approve,disapprove,no_opinion
2009 Jan 9-11,2009-01-09,2009-01-11,34,61,5
2008 Dec 12-14,2008-12-12,2008-12-14,29,67,4
2008 Dec 4-7,2008-12-04,2008-12-07,32,61,7
2008 Nov 13-16,2008-11-13,2008-11-16,29,66,4
2008 Nov 7-9,2008-11-07,2008-11-09,28,68,5
2008 Oct 31-Nov 2,2008-10-31,2008-11-02,25,70,5
2008 Oct 23-26,2008-10-23,2008-10-26,31,66,3
2008 Oct 10-12,2008-10-10,2008-10-12,25,71,4
2008 Oct 3-5,2008-10-03,2008-10-05,25,70,6
2008 Sep 26-27,2008-09-26,2008-09-27,27,69,4
2008 Sep 8-11,2008-09-08,2008-09-11,31,65,4
2008 Sep 5-7,2008-09-05,2008-09-07,33,64,3
2008 Aug 21-23,2008-08-21,2008-08-23,29,66,5
2008 Aug 7-10,2008-08-07,2008-08-10,33,61,6
2008 Jul 25-27,2008-07-25,2008-07-27,32,65,3
2008 Jul 10-13,2008-07-10,2008-07-13,31,61,8
2008 Jun 15-19,2008-06-15,2008-06-19,28,68,4
2008 Jun 9-12,2008-06-09,2008-06-12,30,64,6
2008 May 30-Jun 1,2008-05-30,2008-06-01,28,68,4
2008 May 8-11,2008-05-08,2008-05-11,29,65,6
2008 May 1-3,2008-05-01,2008-05-03,28,67,5
2008 Apr 18-20,2008-04-18,2008-04-20,28,69,4
2008 Apr 6-9,2008-04-06,2008-04-09,28,67,5
2008 Mar 14-16,2008-03-14,2008-03-16,32,64,4
2008 Mar 6-9,2008-03-06,2008-03-09,32,64,4
2008 Feb 21-24,2008-02-21,2008-02-24,32,62,5
2008 Feb 11-14,2008-02-11,2008-02-14,31,65,4
2008 Feb 8-10,2008-02-08,2008-02-10,33,61,5
2008 Jan 30-Feb 2,2008-01-30,2008-02-02,34,61,5
2008 Jan 10-13,2008-01-10,2008-01-13,34,60,6
2008 Jan 4-6,2008-01-04,2008-01-06,32,64,4
2007 Dec 14-16,2007-12-14,2007-12-16,32,65,3
2007 Dec 6-9,2007-12-06,2007-12-09,37,57,5
2007 Nov 30-Dec 2,2007-11-30,2007-12-02,34,62,4
2007 Nov 11-14,2007-11-11,2007-11-14,32,61,7
2007 Nov 2-4,2007-11-02,2007-11-04,31,64,5
2007 Oct 12-14,2007-10-12,2007-10-14,32,64,3
2007 Oct 4-7,2007-10-04,2007-10-07,32,64,4
2007 Sep 14-16,2007-09-14,2007-09-16,36,62,2
2007 Sep 7-8,2007-09-07,2007-09-08,33,62,5
2007 Aug 13-16,2007-08-13,2007-08-16,32,63,5
2007 Aug 3-5,2007-08-03,2007-08-05,34,62,4
2007 Jul 12-15,2007-07-12,2007-07-15,31,63,6
2007 Jul 6-8,2007-07-06,2007-07-08,29,66,5
2007 Jun 11-14,2007-06-11,2007-06-14,32,65,3
2007 Jun 1-3,2007-06-01,2007-06-03,32,62,6
2007 May 10-13,2007-05-10,2007-05-13,33,62,5
2007 May 4-6,2007-05-04,2007-05-06,34,63,3
2007 Apr 13-15,2007-04-13,2007-04-15,36,60,4
2007 Apr 2-5,2007-04-02,2007-04-05,38,58,4
2007 Mar 23-25,2007-03-23,2007-03-25,34,62,4
2007 Mar 11-14,2007-03-11,2007-03-14,35,61,4
2007 Mar 2-4,2007-03-02,2007-03-04,33,63,4
2007 Feb 9-11,2007-02-09,2007-02-11,37,59,3
2007 Feb 1-4,2007-02-01,2007-02-04,32,65,4
2007 Jan 15-18,2007-01-15,2007-01-18,36,61,3
2007 Jan 12-14,2007-01-12,2007-01-14,34,63,4
2007 Jan 5-7,2007-01-05,2007-01-07,37,59,4
2006 Dec 11-14,2006-12-11,2006-12-14,35,61,4
2006 Dec 8-10,2006-12-08,2006-12-10,38,59,4
2006 Nov 9-12,2006-11-09,2006-11-12,33,62,4
2006 Nov 2-5,2006-11-02,2006-11-05,38,56,6
2006 Oct 20-22,2006-10-20,2006-10-22,37,58,4
2006 Oct 9-12,2006-10-09,2006-10-12,37,57,6
2006 Oct 6-8,2006-10-06,2006-10-08,37,59,4
2006 Sep 15-17,2006-09-15,2006-09-17,44,51,5
2006 Sep 7-10,2006-09-07,2006-09-10,39,56,5
2006 Aug 18-20,2006-08-18,2006-08-20,42,54,4
2006 Aug 7-10,2006-08-07,2006-08-10,37,59,4
2006 Jul 28-30,2006-07-28,2006-07-30,40,56,4
2006 Jul 21-23,2006-07-21,2006-07-23,37,59,4
2006 Jul 6-9,2006-07-06,2006-07-09,40,55,5
2006 Jun 23-25,2006-06-23,2006-06-25,37,60,3
2006 Jun 9-11,2006-06-09,2006-06-11,38,56,6
2006 Jun 1-4,2006-06-01,2006-06-04,36,57,6
2006 May 8-11,2006-05-08,2006-05-11,33,61,6
2006 May 5-7,2006-05-05,2006-05-07,31,65,5
2006 Apr 28-30,2006-04-28,2006-04-30,34,63,3
2006 Apr 10-13,2006-04-10,2006-04-13,36,59,5
2006 Apr 7-9,2006-04-07,2006-04-09,37,60,3
2006 Mar 13-16,2006-03-13,2006-03-16,37,59,5
2006 Mar 10-12,2006-03-10,2006-03-12,36,60,4
2006 Feb 28-Mar 1,2006-02-28,2006-03-01,38,60,2
2006 Feb 9-12,2006-02-09,2006-02-12,39,56,4
2006 Feb 6-9,2006-02-06,2006-02-09,42,55,4
2006 Jan 20-22,2006-01-20,2006-01-22,43,54,4
2006 Jan 9-12,2006-01-09,2006-01-12,43,53,4
2006 Jan 6-8,2006-01-06,2006-01-08,43,54,3
2005 Dec 19-22,2005-12-19,2005-12-22,43,53,4
2005 Dec 16-18,2005-12-16,2005-12-18,41,56,3
2005 Dec 9-11,2005-12-09,2005-12-11,42,55,3
2005 Dec 5-8,2005-12-05,2005-12-08,43,52,5
2005 Nov 17-20,2005-11-17,2005-11-20,38,57,5
2005 Nov 11-13,2005-11-11,2005-11-13,37,60,3
2005 Nov 7-10,2005-11-07,2005-11-10,40,55,5
2005 Oct 28-30,2005-10-28,2005-10-30,41,56,3
2005 Oct 24-26,2005-10-24,2005-10-26,41,56,3
2005 Oct 21-23,2005-10-21,2005-10-23,42,55,3
2005 Oct 13-16,2005-10-13,2005-10-16,39,58,3
2005 Sep 26-28,2005-09-26,2005-09-28,45,50,5
2005 Sep 16-18,2005-09-16,2005-09-18,40,58,2
2005 Sep 12-15,2005-09-12,2005-09-15,45,52,3
2005 Sep 8-11,2005-09-08,2005-09-11,46,51,3
2005 Aug 28-30,2005-08-28,2005-08-30,45,52,3
2005 Aug 22-25,2005-08-22,2005-08-25,40,56,4
2005 Aug 8-11,2005-08-08,2005-08-11,45,51,4
2005 Aug 5-7,2005-08-05,2005-08-07,45,51,4
2005 Jul 25-28,2005-07-25,2005-07-28,44,51,5
2005 Jul 22-24,2005-07-22,2005-07-24,49,48,3
2005 Jul 7-10,2005-07-07,2005-07-10,49,48,3
2005 Jun 29-30,2005-06-29,2005-06-30,46,51,3
2005 Jun 24-26,2005-06-24,2005-06-26,45,53,2
2005 Jun 16-19,2005-06-16,2005-06-19,47,51,2
2005 Jun 6-8,2005-06-06,2005-06-08,47,49,4
2005 May 23-26,2005-05-23,2005-05-26,48,47,5
2005 May 20-22,2005-05-20,2005-05-22,46,50,4
