period,start,end,approve,disapprove,no_opinion
2021 Jan 4-15,2021-01-04,2021-01-15,34,62,4
2020 Dec 1-17,2020-12-01,2020-12-17,39,57,5
2020 Nov 5-19,2020-11-05,2020-11-19,43,55,2
2020 Oct 16-27,2020-10-16,2020-10-27,46,52,1
2020 Sep 30-Oct 15,2020-09-30,2020-10-15,43,55,2
2020 Sep 14-28,2020-09-14,2020-09-28,46,52,2
2020 Aug 31-Sep 13,2020-08-31,2020-09-13,42,56,2
2020 Jul 30-Aug 12,2020-07-30,2020-08-12,42,55,4
2020 Jul 1-23,2020-07-01,2020-07-23,41,56,3
2020 Jun 8-30,2020-06-08,2020-06-30,38,57,4
2020 May 28-Jun 4,2020-05-28,2020-06-04,39,57,4
2020 May 1-13,2020-05-01,2020-05-13,49,48,3
2020 Apr 14-28,2020-04-14,2020-04-28,49,47,4
2020 Apr 1-14,2020-04-01,2020-04-14,43,54,4
2020 Mar 13-22,2020-03-13,2020-03-22,49,45,6
2020 Mar 2-13,2020-03-02,2020-03-13,44,52,4
2020 Feb 17-28,2020-02-17,2020-02-28,47,51,2
2020 Feb 3-16,2020-02-03,2020-02-16,49,48,3
2020 Jan 16-29,2020-01-16,2020-01-29,49,50,1
2020 Jan 2-15,2020-01-02,2020-01-15,44,53,3
2019 Dec 2-15,2019-12-02,2019-12-15,45,51,3
2019 Nov 1-14,2019-11-01,2019-11-14,43,54,3
2019 Oct 14-31,2019-10-14,2019-10-31,41,57,2
2019 Oct 1-13,2019-10-01,2019-10-13,39,57,5
2019 Sep 16-30,2019-09-16,2019-09-30,40,56,3
2019 Sep 3-15,2019-09-03,2019-09-15,43,54,4
2019 Aug 15-30,2019-08-15,2019-08-30,39,57,4
2019 Aug 1-14,2019-08-01,2019-08-14,41,54,5
2019 Jul 15-31,2019-07-15,2019-07-31,42,54,4
2019 Jul 1-12,2019-07-01,2019-07-12,44,51,5
2019 Jun 19-30,2019-06-19,2019-06-30,41,54,5
2019 Jun 3-16,2019-06-03,2019-06-16,43,55,3
2019 May 15-30,2019-05-15,2019-05-30,40,55,4
2019 May 1-12,2019-05-01,2019-05-12,42,52,6
2019 Apr 17-30,2019-04-17,2019-04-30,46,50,4
2019 Apr 1-9,2019-04-01,2019-04-09,45,51,4
2019 Mar 1-10,2019-03-01,2019-03-10,39,57,4
2019 Feb 12-28,2019-02-12,2019-02-28,43,54,3
2019 Feb 1-10,2019-02-01,2019-02-10,44,52,4
2019 Jan 21-27,2019-01-21,2019-01-27,37,59,3
2019 Jan 2-10,2019-01-02,2019-01-10,37,59,4
2018 Dec 17-22,2018-12-17,2018-12-22,39,55,5
2018 Dec 10-16,2018-12-10,2018-12-16,38,57,4
2018 Dec 3-9,2018-12-03,2018-12-09,40,56,4
2018 Nov 26-Dec 2,2018-11-26,2018-12-02,40,56,4
2018 Nov 19-25,2018-11-19,2018-11-25,38,60,3
2018 Nov 12-18,2018-11-12,2018-11-18,43,53,4
2018 Nov 5-11,2018-11-05,2018-11-11,38,56,5
2018 Oct 29-Nov 4,2018-10-29,2018-11-04,40,54,6
2018 Oct 22-28,2018-10-22,2018-10-28,40,54,6
2018 Oct 15-21,2018-10-15,2018-10-21,44,50,6
2018 Oct 8-14,2018-10-08,2018-10-14,44,51,5
2018 Oct 1-7,2018-10-01,2018-10-07,43,53,5
2018 Sep 24-30,2018-09-24,2018-09-30,42,53,5
2018 Sep 17-23,2018-09-17,2018-09-23,40,56,5
2018 Sep 10-16,2018-09-10,2018-09-16,38,56,6
2018 Sep 3-9,2018-09-03,2018-09-09,40,54,5
2018 Aug 27-Sep 2,2018-08-27,2018-09-02,41,53,6
2018 Aug 20-26,2018-08-20,2018-08-26,41,54,5
2018 Aug 13-19,2018-08-13,2018-08-19,42,52,7
2018 Aug 6-12,2018-08-06,2018-08-12,39,56,5
2018 Jul 30-Aug 5,2018-07-30,2018-08-05,41,54,5
2018 Jul 23-29,2018-07-23,2018-07-29,40,55,6
2018 Jul 16-22,2018-07-16,2018-07-22,42,54,4
