strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,long,lat,spatial_country,president,avg_ppl_killed,avg_civ_killed
YEM001,2002-11-03T00:00:00Z,NA,Yemen,Marib,6,6,0,0,0,0,0,0,Confirmed,TRUE,TRUE,Drone strike,1,1,NA,NA,NA,Bush,6,0
B1,2004-06-17T00:00:00Z,Wana,Pakistan,South Waziristan,6,8,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,69.59762400000001,32.2982314,Pakistan,Bush,7,2
B2,2005-05-08T00:00:00Z,Toorikhel,Pakistan,North Waziristan,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan,Bush,2,0
B3,2005-11-05T00:00:00Z,Mosaki,Pakistan,North Waziristan,8,8,3,8,2,3,1,1,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan,Bush,8,5.5
B4,2005-12-01T00:00:00Z,Haisori,Pakistan,North Waziristan,6,6,2,3,2,2,0,0,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan,Bush,6,2.5
B5,2006-01-13T00:00:00Z,Damadola,Pakistan,Bajaur Agency,13,22,10,18,5,6,0,0,NA,NA,NA,NA,NA,NA,71.466445,34.8005683,Pakistan,Bush,17.5,14
B6,2006-10-30T00:00:00Z,Chenegai,Pakistan,Bajaur Agency,81,83,80,82,68,70,3,3,NA,NA,NA,NA,NA,NA,64.6944528,29.3057698,Pakistan,Bush,82,81
SOM001,2007-01-07T00:00:00Z,Ras Kamboni,Somalia,NA,8,10,2,2,0,1,1,3,Confirmed,TRUE,FALSE,Air assault - AC-130 Gunship,1,1,41.5837116,-1.6360371,Somalia,Bush,9,2
SOM002,2007-01-09T00:00:00Z,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",Somalia,NA,5,10,0,0,0,0,4,5,Confirmed,TRUE,FALSE,Air assault - AC-130 Gunship,1,1,41.5837116,-1.6360371,Somalia,Bush,7.5,0
SOM003,2007-01-09T00:00:00Z,Hayo,Somalia,NA,4,31,4,31,0,1,0,0,Possible,TRUE,FALSE,Air assault - helicopter,1,1,46.199616,5.152149,Somalia,Bush,17.5,17.5
